pge_id;nom;lat_deco;lon_deco;alt_deco_m;orientations;parapente;delta;thermique;soaring;treuil;cross;plaine;atterro_nom;lat_atterro;lon_atterro;alt_atterro_m;lien_pge;ffvl_id
2824;Abbaretz;47.5622;-1.54;53;NE;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2824;0
3035;Abondance;46.2589;6.78028;2320;SE,W;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=3035;0
2916;Accous - 500;42.9747;-0.56111;1220;S;1;0;0;0;0;0;0;;42.9672;-0.56694;710;http://www.paraglidingearth.com/?site=2916;0
2917;Accous - delta-parapente;42.9819;-0.57028;1225;SW,W;1;1;1;0;0;0;0;;42.9775;-0.60111;460;http://www.paraglidingearth.com/?site=2917;0
3022;Agy plane;46.0797;6.61907;1275;N,NE,SW,W,NW;1;1;0;0;0;0;0;;46.0717;6.57759;482;http://www.paraglidingearth.com/?site=3022;0
2645;Aigre;45.9219;3.575;764;E,W;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2645;0
11292;Aiguille du Midi -S / N;45.8807;6.89602;3593;N,NE,SE,S,SW,NW;1;0;1;1;0;1;0;Bois du Bouchet;45.9316;6.88126;1049;http://www.paraglidingearth.com/?site=11292;0
22529;Aiguille rouge;45.9616;6.68513;-1;;1;0;1;0;0;1;0;;;;;http://www.paraglidingearth.com/?site=22529;0
3029;Aiguillette (les Houches);45.9114;6.81917;1745;S,SW;1;0;1;0;0;1;0;;;;;http://www.paraglidingearth.com/?site=3029;0
3073;Aiguines;43.7797;6.25667;988;SW,W;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=3073;0
11699;Alaric;43.1475;2.63157;545;;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=11699;0
6183;Allevard-les Plagnes;45.3878;6.1475;2066;S,SW;1;0;1;1;0;1;0;;45.3861;6.06806;490;http://www.paraglidingearth.com/?site=6183;0
2786;Allevard-Malatrait;45.3937;6.1066;1409;N,W,NW;1;1;1;0;0;1;0;;45.3861;6.06806;490;http://www.paraglidingearth.com/?site=2786;0
6182;Allevard-south takeoff;45.3922;6.11501;1549;SE,S,SW;1;0;1;0;0;0;0;;45.3861;6.06806;490;http://www.paraglidingearth.com/?site=6182;0
2787;Allevard-St Pierre;45.385;6.0388;987;SE;1;0;1;0;0;0;0;;45.3769;6.055;503;http://www.paraglidingearth.com/?site=2787;0
2795;Alpes d'huez;45.1012;6.06059;2103;E;1;0;0;0;0;0;0;Bourg d'Oisans;45.0702;6.03364;716;http://www.paraglidingearth.com/?site=2795;0
2941;Altenberg - rocher du coucou;48.2987;7.3117;300;N,NE;1;1;1;1;0;1;0;;48.3305;7.2867;759;http://www.paraglidingearth.com/?site=2941;0
11412;Altiport (Les Arcs);45.5766;6.7994;2081;SW,W,NW;1;0;0;0;0;0;0;;45.5914;6.7513;754;http://www.paraglidingearth.com/?site=11412;0
2951;Altmatt;48.0311;7.07472;628;SE,S,SW;1;0;1;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2951;0
2703;Amathay;47.02;6.22167;806;NW;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2703;0
22110;Amigny;47.3235;2.79901;333;N,NE;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=22110;0
17010;Ancelle;44.6309;6.21507;1517;S,SW,W;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=17010;0
2757;Anduze;44.0592;3.99861;268;W,NW;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2757;0
14033;Anglettaz;45.9588;6.24142;1543;;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=14033;0
2646;Angouleme;45.5547;0.01639;94;N,S;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2646;0
17858;Anguilla - Deco sud est;18.1215;-63.0202;30;SE,S;1;0;0;0;0;0;0;;18.1171;-63.0216;15;http://www.paraglidingearth.com/?site=17858;0
17861;Anguilla -deco sud2;18.112;-63.0238;99;S;1;0;0;1;0;0;0;;18.1095;-63.0238;17;http://www.paraglidingearth.com/?site=17861;0
21842;Annecy - Planfait;45.8532;6.22299;956;SW,W,NW;1;0;1;1;0;1;0;Talloires;45.8486;6.21407;555;http://www.paraglidingearth.com/?site=21842;0
11356;Antony;48.7517;2.2794;85;NW;1;0;0;0;0;0;0;;48.7524;2.2788;79;http://www.paraglidingearth.com/?site=11356;0
2899;Anzat le luguet;45.3303;3.005;1359;N,NE,E,SE;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2899;0
23303;Arbas Cornudère;42.958;0.89077;1554;;1;0;1;0;0;0;0;Arbas;42.9914;0.90446;420;http://www.paraglidingearth.com/?site=23303;0
23304;Arbas Herran (Michel Belaygue);42.9602;0.91251;1215;;1;;;;;;;Arbas;42.9914;0.90445;420;http://www.paraglidingearth.com/?site=23304;0
11975;Arbas Planot;42.9699;0.88572;1108;;1;0;0;0;0;0;0;Arbas;42.9914;0.90447;420;http://www.paraglidingearth.com/?site=11975;0
23305;Arbas Relais;43.0073;0.91888;807;;1;;;;;;;Arbas;42.9914;0.90446;420;http://www.paraglidingearth.com/?site=23305;0
2526;Archail;44.1097;6.36333;1825;NW;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2526;0
3104;Arcy sur cure;47.6011;3.77778;225;S,SW;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=3104;0
3077;Arfuyen;44.1913;5.1014;574;E,SE;1;0;0;0;0;0;0;;44.1908;5.1207;295;http://www.paraglidingearth.com/?site=3077;0
2594;Argeliers;43.315;2.885;174;E,SE,S,SW;1;0;1;1;0;0;1;Atterrissage;43.3136;2.89189;50;http://www.paraglidingearth.com/?site=2594;0
2706;Arguel;47.1947;5.99056;458;N;1;0;0;0;0;0;0;Atterrissage;47.2005;5.98652;231;http://www.paraglidingearth.com/?site=2706;0
23445;Arimoun - Ger;43.0528;-0.02929;786;N,NW;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=23445;0
11413;Arpette (Les Arcs);45.5834;6.8048;2151;SW,W,NW;1;0;1;1;0;0;0;;45.5917;6.7513;754;http://www.paraglidingearth.com/?site=11413;0
2583;Arrout;42.9435;1.01471;0;E;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2583;0
15532;Arzeliers;44.3748;5.81212;1142;S;1;0;1;1;0;0;0;;44.3689;5.80336;877;http://www.paraglidingearth.com/?site=15532;0
23545;Arête De Fresse Table d’Orientation;45.4485;6.92613;2670;;1;;;;;;;;;;;http://www.paraglidingearth.com/?site=23545;0
22045;Aslonnes;46.4406;0.34442;131;N,NE,E,S,SW,W;1;0;0;0;1;0;1;Landing A;46.4408;0.34461;130;http://www.paraglidingearth.com/?site=22045;0
22232;Asnan;47.3156;3.5509;367;W;1;0;1;1;0;0;0;;47.3138;3.54733;301;http://www.paraglidingearth.com/?site=22232;0
2547;Aspres;44.543;5.7092;1549;SE,S,SW;1;1;1;1;0;1;0;;44.5199;5.7364;833;http://www.paraglidingearth.com/?site=2547;0
